date,coverage_points,coverage_percent,mean_precip,max_precip,min_precip,mean_anomaly,max_anomaly,centroid_lat,centroid_lon,month,year,day_of_year,saison
1986-09-13,268,47.85714285714286,28.581156,61.05845,10.743197,3.5116985,6.2840967,14.870336,-13.596082,9,1986,256,Saison_des_pluies
2023-07-03,267,47.67857142857143,16.093147,33.705288,3.9648087,3.2070599,7.1151485,15.235487,-13.73455,7,2023,184,Saison_des_pluies
2004-10-24,266,47.5,6.207751,17.6635,0.5487088,4.2256346,12.124624,14.74812,-13.277256,10,2004,298,Saison_des_pluies
2009-06-25,266,47.5,19.788952,37.963497,2.5090206,3.7769244,7.394492,14.384398,-12.881579,6,2009,176,Saison_des_pluies
2005-06-05,264,47.14285714285714,13.021153,36.430725,0.07122814,4.2014265,7.5251985,14.456439,-12.985795,6,2005,156,Saison_des_pluies
2008-07-20,260,46.42857142857143,26.761387,61.390038,9.157502,3.336492,5.206788,14.486539,-12.990385,7,2008,202,Saison_des_pluies
1989-06-13,259,46.25,11.958869,28.3643,1.0521221,5.222461,15.296375,15.010135,-14.002413,6,1989,164,Saison_des_pluies
2019-10-13,259,46.25,12.429482,32.73674,2.528121,3.0159967,5.5914783,13.949325,-14.097973,10,2019,286,Saison_des_pluies
2009-06-15,258,46.07142857142857,19.853895,49.653984,1.366264,6.2837653,17.89247,14.630814,-13.067829,6,2009,166,Saison_des_pluies
2014-05-21,258,46.07142857142857,8.674114,28.967836,0.03135149,6.2312965,12.825089,13.667636,-14.453488,5,2014,141,Saison_des_pluies
2005-06-28,258,46.07142857142857,14.648217,31.740156,4.467119,3.7625885,10.332042,15.055233,-14.718023,6,2005,179,Saison_des_pluies
2003-10-19,256,45.714285714285715,7.830328,30.208105,1.2397966,2.8590488,6.756822,14.28125,-13.411133,10,2003,292,Saison_des_pluies
1993-10-27,255,45.535714285714285,10.789317,52.565025,1.0533786,4.564995,9.138534,13.6965685,-13.945588,10,1993,300,Saison_des_pluies
1988-06-12,255,45.535714285714285,17.175999,50.552364,0.90326196,3.4494336,7.0575223,14.155392,-12.962255,6,1988,164,Saison_des_pluies
1999-10-19,254,45.357142857142854,5.3858304,14.733232,0.82625884,3.4204776,8.323706,15.320867,-14.041339,10,1999,292,Saison_des_pluies
2023-08-15,253,45.17857142857143,28.907812,69.47627,13.9149475,2.965727,5.325834,15.009387,-14.006423,8,2023,227,Saison_des_pluies
1997-10-31,252,45.0,3.7183847,14.93966,0.26848507,4.2440376,12.207721,14.717262,-13.865079,10,1997,304,Saison_des_pluies
2016-09-12,251,44.82142857142858,28.715643,62.37953,9.200656,3.2609324,6.4382834,14.846115,-14.125996,9,2016,256,Saison_des_pluies
1995-07-20,250,44.642857142857146,30.680212,75.29943,8.936795,4.978028,12.016003,15.272,-14.206,7,1995,201,Saison_des_pluies
1984-06-20,250,44.642857142857146,16.503965,42.171104,2.4364765,3.1833174,7.515404,14.088,-14.672,6,1984,172,Saison_des_pluies
2011-06-02,248,44.285714285714285,5.2992415,15.426452,0.41366798,5.3027844,25.285658,14.857862,-14.9838705,6,2011,153,Saison_des_pluies
1989-10-09,246,43.92857142857143,10.617489,25.317749,2.080542,3.4708962,7.123342,14.715447,-13.417683,10,1989,282,Saison_des_pluies
2018-09-06,245,43.75,35.47071,86.331795,11.556202,3.1210961,5.7980566,14.051531,-14.481122,9,2018,249,Saison_des_pluies
2023-07-11,243,43.392857142857146,17.558979,43.4536,4.9840727,2.7265012,4.869567,14.98714,-13.801954,7,2023,192,Saison_des_pluies
2005-10-24,241,43.03571428571429,13.536245,80.75924,0.74433607,4.4316034,10.163086,13.77749,-14.217323,10,2005,297,Saison_des_pluies
